URL,News Type,Collection,Authors
https://www.finalcall.com/artman/publish/National_News_2/article_103844.shtml,african american media,AAM,"[ASKIA MUHAMMAD, RICHARD B. MUHAMMAD, FINAL CALL STAFFERS]"
http://sacobserver.com/2017/10/local-entrepreneur-spearheads-donation-drive-for-hurricane-survivors-in-the-caribbean-and-puerto-rico/,african american media,AAM,[Observer Staff]
https://www.theroot.com/the-nfl-protests-are-a-perfect-study-of-how-white-supre-1819769290,african american media,AAM,[Michael Harriot]
http://verysmartbrothas.com/moving-day/,african american media,AAM,[Damon Young]
http://www.whataboutourdaughters.com/waod/2016/8/13/before-you-go-see-nate-parkers-birth-of-a-nation.html,african american media,AAM,[The Blogmother]
http://uproxx.com/realtalk/post-malone-lil-b-tweets-white-rapper/#comments,Left,US Political,"[Andre Gee, Elias Leight, Caitlin White, Steven Hyden, Aaron Williams]"
http://www.king5.com/news/nation-world/twitter-employee-temporarily-disabled-trumps-account/488693944,Left,US Political,"[Usa Today, Charles Ventura, Am Pdt November]"
https://forwardprogressives.com/rick-perry-claims-the-righteousness-of-fossil-fuels-can-prevent-sexual-assault/,Left,US Political,[Allen Clifton]
http://www.sltrib.com/news/2017/10/31/shots-fired-near-university-of-utah/,Left,US Political,"[Mariah Noble, Bob Mims, Rachel Piper]"
http://www.aljazeera.net/news/cultureandart/2017/11/3/جائزة-الملتقى-للقصة-العربية-تعلن-قائمتها-القصيرة,Center Left,US Political,[]
http://www.smh.com.au/rugby-league/matt-callander-remembered-as-beautiful-and-caring-man-at-bondi-funeral-20171103-gzembl.html,Center Left,US Political,[James Buckley]
http://abcnews.go.com/International/wireStory/zealand-repeats-offer-australia-camp-refugees-50904142,Center Left,US Political,[Abc News]
http://www.detroitnews.com/detroit-mi/community/arts-and-entertainment/detroit-symphony-orchestra-max-m-fisher-music-center-313-576-5111,Center Left,US Political,[]
http://boston.com/sports/boston-celtics/2017/11/03/what-we-know-about-the-celtics-so-far-and-what-we-dont,Center Left,US Political,[Paul Swydan]
http://www.thefiscaltimes.com/latestnews/2017/11/03/European-shares-edge-higher-SocGen-weighs-banks-after-results,Center,US Political,[]
http://news.nationalpost.com/news/canada/dude-wheres-my-house-saskatchewan-man-awakes-to-find-abandoned-home-on-his-property/wcm/4782f59e-d6f8-48fe-a8b1-75e2079254c4,Center,US Political,[]
http://uk.answers.yahoo.com/news/chinas-c919-jet-completes-3rd-test-flight-manufacturer-090540449--sector.html,Center,US Political,[]
http://www.texastribune.org/2017/11/03/death-penalty-bobby-moore-kim-ogg/,Center,US Political,"[Jolie Mccullough, Hours Ago]"
http://www.tampabay.com/winning-numbers-drawn-in-fantasy--game-ap_floridac76cef16137c452ab6e62ee8ec08843c,Center,US Political,[]
http://deadline.com/2017/11/thor-ragnarok-a-bad-moms-christmas-huge-box-office-weekend-1202200942/,Center,US Political,[Anthony D'alessandro]
https://morningconsult.com/opinions/implementation-of-pama-must-be-delayed-until-lab-test-rates-are-fairly-determined/,Center Right,US Political,[John Kolozsvary]
http://www.foxsports.com/west/story/kings-hold-off-toronto-after-taking-5-goal-lead-early-110317,Center Right,US Political,[]
http://blogs.dallasobserver.com/event/meadows-opera-theatre-s-opera-free-for-all-when-the-night-wind-howls-9978256,Center Right,US Political,[]
https://www.redstate.com/bradslager/2017/11/03/glamour-magazine-women-year-accomplishments-not-required/,Center Right,US Political,"[Kira Davis, Neil Stevens, Kimberly Ross, Jon Street, Posted At Am On November, Amelia Hamilton, Sarah Lee, Brad Slager, Jim Jamitis, Caleb Howe]"
http://www.reuters.com/article/us-southchinasea-china-vietnam/china-says-has-agreement-with-vietnam-on-managing-south-china-sea-dispute-idUSKBN1D30AU,Center Right,US Political,"[Min Read, Michael Martina]"
http://www.sunshinestatenews.com/hundreds-ballots-came-too-late-swing-razor-thin-gop-state-house-primary-4,Right,US Political,[]
https://allenbwest.americanewshub.com/whoa-watch-happens-man-wears-obama-shirt-texas-town-voted-80-trump/,Right,US Political,[]
http://barenakedislam.com/2017/11/03/georgia-following-the-latest-islamic-terrorist-attack-in-nyc-muslims-only-want-to-whine-about-islamophobia/feed/,Right,US Political,[]
http://www.townhall.com/columnists/davidlimbaugh/2017/11/03/let-there-be-light-n2404163,Right,US Political,"[Matt Vespa, Beth Baumann, David Limbaugh]"
https://joelhirst.wordpress.com/2016/04/23/the-suicide-of-venezuela/,Right,US Political,"[View All Posts Joel D Hirst, Joel D, Posted On]"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
